TIME,HR:TT03:TEMPERATURE_OUTSIDE,HR:TT06:TEMPERATURE_LAB_INTAKE,HR:TT01:TEMPERATURE_OUTSIDE_INTAKE,DC01:DAMPER_OUTSIDE_INTAKE,DC02:DAMPER_CROSS,DC03:DAMPER_LAB_INTAKE,HR:TT12:TEMPERATURE_WATERTANK_HEATING_OUT
2021-10-12 13:42:51.081000+02:00,12.119141,21.19629,19.926758,0.0,5.0,0.0,12.119141
2021-10-12 13:43:25.116000+02:00,11.9921875,21.19629,19.926758,0.0,5.0,0.0,11.9921875
2021-10-12 13:43:59.167000+02:00,12.182617,21.19629,19.863281,0.0,5.0,0.0,12.182617
2021-10-12 13:44:33.230000+02:00,12.182617,21.259766,19.863281,0.0,5.0,0.0,12.182617
2021-10-12 13:45:07.263000+02:00,12.119141,21.259766,19.926758,0.0,5.0,0.0,12.119141
2021-10-12 13:45:41.323000+02:00,12.055664,21.19629,19.863281,0.0,5.0,0.0,12.055664
2021-10-12 13:46:15.360000+02:00,11.9921875,21.259766,19.926758,0.0,5.0,0.0,11.9921875
2021-10-12 13:46:49.413000+02:00,11.9921875,21.259766,19.863281,0.0,5.0,0.0,11.9921875
2021-10-12 13:47:23.480000+02:00,12.119141,21.259766,19.863281,0.0,5.0,0.0,12.119141
2021-10-12 13:47:57.504000+02:00,12.182617,21.259766,19.926758,0.0,5.0,0.0,12.182617
2021-10-12 13:48:31.562000+02:00,12.182617,21.19629,19.926758,0.0,5.0,0.0,12.182617
2021-10-12 13:49:05.600000+02:00,12.246094,21.259766,19.926758,0.0,5.0,0.0,12.246094
2021-10-12 13:49:39.643000+02:00,12.119141,21.259766,19.863281,0.0,5.0,0.0,12.119141
2021-10-12 13:50:13.694000+02:00,12.119141,21.323242,19.863281,0.0,5.0,0.0,12.119141
2021-10-12 13:50:47.733000+02:00,12.182617,21.259766,19.863281,0.0,5.0,0.0,12.182617
2021-10-12 13:51:21.796000+02:00,12.119141,21.259766,19.863281,0.0,5.0,0.0,12.119141
2021-10-12 13:51:55.836000+02:00,12.055664,21.259766,19.863281,0.0,5.0,0.0,12.055664
2021-10-12 13:52:29.870000+02:00,12.119141,21.323242,19.799805,0.0,5.0,0.0,12.119141
2021-10-12 13:53:03.911000+02:00,12.182617,21.386719,19.799805,0.0,5.0,0.0,12.182617
2021-10-12 13:53:37.957000+02:00,12.246094,21.386719,19.926758,0.0,5.0,,12.246094
2021-10-12 13:54:12.012000+02:00,12.182617,21.323242,19.863281,0.0,5.0,0.0,12.182617
2021-10-12 13:54:46.046000+02:00,12.119141,21.323242,19.863281,0.0,5.0,0.0,12.119141
2021-10-12 13:55:20.082000+02:00,12.119141,21.386719,19.799805,0.0,5.0,0.0,12.119141
2021-10-12 13:55:54.133000+02:00,12.246094,21.450195,19.863281,0.0,5.0,0.0,12.246094
2021-10-12 13:56:28.171000+02:00,12.182617,21.450195,19.863281,0.0,5.0,0.0,12.182617
2021-10-12 13:57:02.208000+02:00,12.119141,21.450195,19.863281,0.0,5.0,0.0,12.119141
2021-10-12 13:57:36.240000+02:00,12.246094,21.450195,19.799805,0.0,5.0,0.0,12.246094
2021-10-12 13:58:10.284000+02:00,12.119141,21.450195,19.799805,0.0,5.0,0.0,12.119141
2021-10-12 13:58:44.337000+02:00,12.055664,21.450195,19.863281,0.0,5.0,0.0,12.055664
2021-10-12 13:59:18.395000+02:00,12.182617,21.450195,19.799805,0.0,5.0,0.0,12.182617
2021-10-12 13:59:52.418000+02:00,12.246094,21.513672,19.799805,0.0,5.0,0.0,12.246094
2021-10-12 14:00:26.464000+02:00,12.30957,21.450195,19.863281,0.0,5.0,0.0,12.30957
2021-10-12 14:01:00.497000+02:00,12.5,21.513672,19.863281,0.0,5.0,0.0,12.5
2021-10-12 14:01:34.540000+02:00,12.5,21.386719,19.926758,0.0,5.0,0.0,12.5
2021-10-12 14:02:08.585000+02:00,12.5,21.513672,19.926758,0.0,5.0,0.0,12.5
2021-10-12 14:02:42.618000+02:00,12.563477,21.513672,19.990234,0.0,5.0,0.0,12.563477
2021-10-12 14:03:16.652000+02:00,12.436523,21.513672,19.926758,0.0,5.0,0.0,12.436523
2021-10-12 14:04:51.819000+02:00,12.563477,21.513672,19.990234,0.0,0.0,0.0,12.563477
2021-10-12 14:05:25.838000+02:00,12.5,21.513672,19.926758,0.0,0.0,0.0,12.5
2021-10-12 14:05:59.871000+02:00,12.5,21.513672,19.990234,0.0,0.0,0.0,12.5
2021-10-12 14:06:33.924000+02:00,12.436523,21.513672,20.05371,0.0,0.0,0.0,12.436523
2021-10-12 14:07:07.974000+02:00,12.626953,21.577148,,0.0,0.0,0.0,12.626953
2021-10-12 14:07:42.020000+02:00,12.753906,21.513672,19.990234,0.0,0.0,0.0,12.753906
2021-10-12 14:08:16.053000+02:00,12.817383,21.450195,20.05371,0.0,,0.0,12.817383
2021-10-12 14:08:50.085000+02:00,12.69043,21.577148,19.990234,0.0,0.0,0.0,12.69043
2021-10-12 14:09:24.126000+02:00,12.563477,21.577148,19.990234,0.0,0.0,0.0,12.563477
2021-10-12 14:09:58.161000+02:00,12.563477,21.513672,20.05371,0.0,0.0,0.0,12.563477
2021-10-12 14:10:32.215000+02:00,12.563477,21.577148,19.990234,0.0,0.0,0.0,12.563477
2021-10-12 14:11:06.236000+02:00,12.563477,21.577148,19.990234,0.0,0.0,0.0,12.563477
2021-10-12 14:11:40.281000+02:00,12.5,21.577148,20.05371,0.0,0.0,0.0,12.5
2021-10-12 14:12:14.318000+02:00,12.626953,21.513672,20.05371,0.0,0.0,0.0,12.626953
2021-10-12 14:12:48.356000+02:00,12.5,21.577148,19.990234,0.0,0.0,0.0,12.5
2021-10-12 14:13:22.403000+02:00,12.5,21.640625,19.990234,0.0,0.0,0.0,12.5
2021-10-12 14:13:56.438000+02:00,12.626953,21.577148,20.05371,0.0,0.0,0.0,12.626953
2021-10-12 14:14:30.472000+02:00,12.69043,21.577148,19.990234,0.0,0.0,0.0,12.69043
2021-10-12 14:15:04.516000+02:00,12.5,21.577148,20.117188,0.0,0.0,0.0,12.5
2021-10-12 14:15:38.570000+02:00,12.5,21.640625,19.990234,0.0,0.0,0.0,12.5
2021-10-12 14:16:12.599000+02:00,12.5,21.704102,20.05371,0.0,0.0,0.0,12.5
2021-10-12 14:16:46.640000+02:00,12.5,21.704102,20.117188,0.0,0.0,0.0,12.5
2021-10-12 14:17:20.680000+02:00,12.5,21.704102,20.05371,0.0,0.0,0.0,12.5
2021-10-12 14:17:54.710000+02:00,12.5,21.640625,20.05371,0.0,0.0,0.0,12.5
2021-10-12 14:18:28.753000+02:00,12.5,21.704102,20.05371,0.0,0.0,0.0,12.5
2021-10-12 14:19:02.812000+02:00,12.563477,21.640625,20.117188,0.0,0.0,0.0,12.563477
2021-10-12 14:19:36.850000+02:00,12.5,21.704102,20.05371,0.0,0.0,0.0,12.5
2021-10-12 14:20:10.887000+02:00,12.626953,21.640625,20.05371,0.0,0.0,0.0,12.626953
2021-10-12 14:20:44.922000+02:00,12.626953,21.640625,20.117188,0.0,0.0,0.0,12.626953
2021-10-12 14:21:18.989000+02:00,12.626953,21.704102,20.117188,0.0,0.0,0.0,12.626953
2021-10-12 14:21:53.033000+02:00,12.69043,21.640625,20.117188,0.0,0.0,0.0,12.69043
2021-10-12 14:23:01.117000+02:00,12.626953,21.704102,20.24414,0.0,0.0,0.0,12.626953
2021-10-12 14:23:35.149000+02:00,12.563477,,20.180664,0.0,0.0,0.0,12.563477
2021-10-12 14:24:09.194000+02:00,12.626953,21.767578,20.180664,0.0,0.0,0.0,12.626953
2021-10-12 14:24:43.236000+02:00,12.563477,21.704102,20.24414,0.0,0.0,0.0,12.563477
2021-10-12 14:25:17.271000+02:00,12.563477,21.767578,20.180664,0.0,0.0,0.0,12.563477
2021-10-12 14:25:51.309000+02:00,12.563477,21.831055,20.180664,0.0,0.0,0.0,12.563477
2021-10-12 14:26:25.346000+02:00,12.373047,21.831055,20.180664,0.0,0.0,0.0,12.373047
2021-10-12 14:26:59.389000+02:00,12.373047,21.767578,20.180664,0.0,0.0,0.0,12.373047
2021-10-12 14:27:33.419000+02:00,12.436523,21.831055,20.180664,0.0,0.0,0.0,12.436523
2021-10-12 14:28:07.451000+02:00,12.563477,21.767578,20.180664,0.0,0.0,0.0,12.563477
2021-10-12 14:28:41.493000+02:00,12.563477,21.831055,20.180664,0.0,0.0,0.0,12.563477
2021-10-12 14:29:15.542000+02:00,12.563477,21.831055,20.180664,,0.0,0.0,12.563477
2021-10-12 14:29:49.573000+02:00,12.626953,21.831055,20.180664,0.0,0.0,0.0,12.626953
2021-10-12 14:30:23.609000+02:00,12.563477,21.831055,,0.0,0.0,0.0,12.563477
2021-10-12 14:30:57.650000+02:00,12.626953,21.767578,20.24414,0.0,0.0,0.0,12.626953
2021-10-12 14:32:05.728000+02:00,12.69043,21.767578,20.180664,0.0,0.0,0.0,12.69043
2021-10-12 14:32:39.775000+02:00,12.69043,21.831055,20.24414,0.0,0.0,0.0,12.69043
2021-10-12 14:33:13.798000+02:00,12.69043,21.831055,20.307617,0.0,0.0,0.0,12.69043
2021-10-12 14:33:47.848000+02:00,12.817383,21.894531,20.24414,0.0,0.0,0.0,12.817383
2021-10-12 14:34:21.882000+02:00,12.753906,21.831055,20.24414,0.0,0.0,0.0,12.753906
2021-10-12 14:34:55.933000+02:00,12.753906,21.831055,20.24414,0.0,0.0,0.0,12.753906
2021-10-12 14:35:30.021000+02:00,12.753906,21.831055,20.180664,0.0,0.0,0.0,12.753906
2021-10-12 14:36:04.039000+02:00,12.753906,21.958008,20.24414,0.0,0.0,0.0,12.753906
2021-10-12 14:36:38.084000+02:00,12.563477,21.894531,20.24414,0.0,0.0,0.0,12.563477
2021-10-12 14:37:12.126000+02:00,12.5,21.894531,20.24414,0.0,0.0,0.0,12.5
2021-10-12 14:37:46.158000+02:00,12.69043,21.894531,20.24414,0.0,0.0,0.0,12.69043
2021-10-12 14:38:20.192000+02:00,12.626953,21.894531,20.24414,0.0,0.0,0.0,12.626953
2021-10-12 14:38:54.236000+02:00,12.626953,21.958008,20.24414,0.0,0.0,0.0,12.626953
2021-10-12 14:39:28.269000+02:00,12.626953,21.894531,20.24414,0.0,0.0,0.0,12.626953
2021-10-12 14:40:02.299000+02:00,12.69043,21.894531,20.307617,0.0,0.0,0.0,12.69043
2021-10-12 14:40:36.342000+02:00,12.69043,21.894531,20.24414,0.0,0.0,0.0,12.69043
2021-10-12 14:41:10.403000+02:00,12.753906,21.958008,20.307617,0.0,0.0,0.0,12.753906
2021-10-12 14:41:44.442000+02:00,12.626953,21.958008,20.307617,0.0,0.0,0.0,12.626953
2021-10-12 14:42:18.478000+02:00,12.626953,21.958008,20.307617,0.0,0.0,0.0,12.626953
2021-10-12 14:42:52.510000+02:00,12.69043,22.021484,20.307617,0.0,0.0,0.0,12.69043
2021-10-12 14:43:26.556000+02:00,12.880859,22.021484,20.307617,0.0,0.0,0.0,12.880859
2021-10-12 14:44:00.602000+02:00,12.944336,22.08496,20.307617,0.0,0.0,0.0,12.944336
2021-10-12 14:44:34.641000+02:00,13.0078125,22.021484,20.307617,0.0,0.0,0.0,13.0078125
2021-10-12 14:45:08.691000+02:00,12.944336,22.08496,20.307617,0.0,0.0,0.0,12.944336
2021-10-12 14:45:42.724000+02:00,12.817383,22.148438,20.24414,0.0,0.0,0.0,12.817383
2021-10-12 14:46:16.756000+02:00,12.944336,22.148438,20.307617,0.0,0.0,0.0,-5.5908203
2021-10-12 14:46:50.802000+02:00,12.880859,22.08496,20.371094,0.0,0.0,0.0,-5.5908203
2021-10-12 14:47:24.835000+02:00,12.944336,22.08496,20.371094,0.0,0.0,0.0,-5.5908203
